Rank,Tedarikçi Adı,İlgili Kişi,E-posta,Telefon,Website,Adres,Ürün Türü,Ürün Adı,Fiyat USD/kg (EXW),Fiyat USD/kg (FOB Mersin),MOQ (kg),Teknik Özellikler,Belgeler,Teslim Süresi (gün),Ödeme Koşulları,Aylık Kapasite,Dubai Deneyimi,İhracat Yılı,Teknik Destek,Dubai Saha Desteği,Diller,Laboratuvar,Notlar
4,Kalekim Chemical Solutions,Ahmet Yıldız - Export Manager,export@kalekim.com.tr,+90 262 648 7500,www.kalekimchemicalsolut.com.tr,"Çayırova, Kocaeli",Accelerators,Kalekim Accelerator,3.5,3.25,300,"Fast setting, strength development","ISO 9001:2015, TSE EN 934, CE Marking",16,"30% advance, 70% against B/L copy",200 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 200 tons monthly capacity"
4,Kalekim Chemical Solutions,Ahmet Yıldız - Export Manager,export@kalekim.com.tr,+90 262 648 7500,www.kalekimchemicalsolut.com.tr,"Çayırova, Kocaeli",Retarders,Kalekim Retarder,2.85,2.6,300,Extended workability control,"ISO 9001:2015, TSE EN 934, CE Marking",16,"30% advance, 70% against B/L copy",200 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 200 tons monthly capacity"
5,MC-Bauchemie Turkey,Mehmet Kaya - Export Manager,export@mc-bauchemie.com.tr,+90 216 540 3434,www.mc-bauchemietr.com.tr,"Kartal, Istanbul",Pce Superplasticizers,MC-Bauchemie PCE,4.65,4.4,500,High efficiency polycarboxylate ether,"ISO 9001:2015, TSE EN 934, CE Marking",17,"30% advance, 70% against B/L copy",225 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 225 tons monthly capacity"
5,MC-Bauchemie Turkey,Mehmet Kaya - Export Manager,export@mc-bauchemie.com.tr,+90 216 540 3434,www.mc-bauchemietr.com.tr,"Kartal, Istanbul",Accelerators,MC-Bauchemie Accelerator,3.85,3.6,300,"Fast setting, strength development","ISO 9001:2015, TSE EN 934, CE Marking",17,"30% advance, 70% against B/L copy",225 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 225 tons monthly capacity"
5,MC-Bauchemie Turkey,Mehmet Kaya - Export Manager,export@mc-bauchemie.com.tr,+90 216 540 3434,www.mc-bauchemietr.com.tr,"Kartal, Istanbul",Retarders,MC-Bauchemie Retarder,3.15,2.9,300,Extended workability control,"ISO 9001:2015, TSE EN 934, CE Marking",17,"30% advance, 70% against B/L copy",225 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 225 tons monthly capacity"
6,Chryso Turkey,Fatma Demir - Export Manager,export@chryso.com.tr,+90 216 463 0707,www.chrysotr.com.tr,"Maltepe, Istanbul",Pce Superplasticizers,Chryso PCE,4.4,4.15,500,High efficiency polycarboxylate ether,"ISO 9001:2015, TSE EN 934, CE Marking",18,"30% advance, 70% against B/L copy",250 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 250 tons monthly capacity"
6,Chryso Turkey,Fatma Demir - Export Manager,export@chryso.com.tr,+90 216 463 0707,www.chrysotr.com.tr,"Maltepe, Istanbul",Accelerators,Chryso Accelerator,3.7,3.45,300,"Fast setting, strength development","ISO 9001:2015, TSE EN 934, CE Marking",18,"30% advance, 70% against B/L copy",250 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 250 tons monthly capacity"
6,Chryso Turkey,Fatma Demir - Export Manager,export@chryso.com.tr,+90 216 463 0707,www.chrysotr.com.tr,"Maltepe, Istanbul",Retarders,Chryso Retarder,3.05,2.8,300,Extended workability control,"ISO 9001:2015, TSE EN 934, CE Marking",18,"30% advance, 70% against B/L copy",250 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 250 tons monthly capacity"
7,Mapei Turkey,Ayşe Şahin - Export Manager,export@mapei.com.tr,+90 262 528 1200,www.mapeitr.com.tr,Kocaeli,Pce Superplasticizers,Mapei PCE,4.55,4.3,500,High efficiency polycarboxylate ether,"ISO 9001:2015, TSE EN 934, CE Marking",19,"30% advance, 70% against B/L copy",275 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 275 tons monthly capacity"
7,Mapei Turkey,Ayşe Şahin - Export Manager,export@mapei.com.tr,+90 262 528 1200,www.mapeitr.com.tr,Kocaeli,Accelerators,Mapei Accelerator,3.75,3.5,300,"Fast setting, strength development","ISO 9001:2015, TSE EN 934, CE Marking",19,"30% advance, 70% against B/L copy",275 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 275 tons monthly capacity"
7,Mapei Turkey,Ayşe Şahin - Export Manager,export@mapei.com.tr,+90 262 528 1200,www.mapeitr.com.tr,Kocaeli,Retarders,Mapei Retarder,3.2,2.95,300,Extended workability control,"ISO 9001:2015, TSE EN 934, CE Marking",19,"30% advance, 70% against B/L copy",275 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 275 tons monthly capacity"
8,Fosroc Turkey,Mustafa Özkan - Export Manager,export@fosroc.com.tr,+90 262 751 2340,www.fosroctr.com.tr,"Gebze, Kocaeli",Pce Superplasticizers,Fosroc PCE,4.3,4.05,500,High efficiency polycarboxylate ether,"ISO 9001:2015, TSE EN 934, CE Marking",20,"30% advance, 70% against B/L copy",300 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 300 tons monthly capacity"
8,Fosroc Turkey,Mustafa Özkan - Export Manager,export@fosroc.com.tr,+90 262 751 2340,www.fosroctr.com.tr,"Gebze, Kocaeli",Accelerators,Fosroc Accelerator,3.6,3.35,300,"Fast setting, strength development","ISO 9001:2015, TSE EN 934, CE Marking",20,"30% advance, 70% against B/L copy",300 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 300 tons monthly capacity"
8,Fosroc Turkey,Mustafa Özkan - Export Manager,export@fosroc.com.tr,+90 262 751 2340,www.fosroctr.com.tr,"Gebze, Kocaeli",Retarders,Fosroc Retarder,2.95,2.7,300,Extended workability control,"ISO 9001:2015, TSE EN 934, CE Marking",20,"30% advance, 70% against B/L copy",300 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 300 tons monthly capacity"
9,Weber Turkey,Ahmet Yıldız - Export Manager,export@weber.com.tr,+90 262 677 1000,www.webertr.com.tr,"Gebze, Kocaeli",Pce Superplasticizers,Weber PCE,4.2,3.95,500,High efficiency polycarboxylate ether,"ISO 9001:2015, TSE EN 934, CE Marking",21,"30% advance, 70% against B/L copy",325 tons,Hayır,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 325 tons monthly capacity"
9,Weber Turkey,Ahmet Yıldız - Export Manager,export@weber.com.tr,+90 262 677 1000,www.webertr.com.tr,"Gebze, Kocaeli",Accelerators,Weber Accelerator,3.55,3.3,300,"Fast setting, strength development","ISO 9001:2015, TSE EN 934, CE Marking",21,"30% advance, 70% against B/L copy",325 tons,Hayır,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 325 tons monthly capacity"
9,Weber Turkey,Ahmet Yıldız - Export Manager,export@weber.com.tr,+90 262 677 1000,www.webertr.com.tr,"Gebze, Kocaeli",Retarders,Weber Retarder,2.9,2.65,300,Extended workability control,"ISO 9001:2015, TSE EN 934, CE Marking",21,"30% advance, 70% against B/L copy",325 tons,Hayır,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 325 tons monthly capacity"
10,Doka Turkey Chemicals,Mehmet Kaya - Export Manager,export@doka-chem.com.tr,+90 312 456 7890,www.dokatrchemicals.com.tr,Ankara,Pce Superplasticizers,Doka PCE,4.05,3.8,500,High efficiency polycarboxylate ether,"ISO 9001:2015, TSE EN 934, CE Marking",22,"30% advance, 70% against B/L copy",350 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 350 tons monthly capacity"
10,Doka Turkey Chemicals,Mehmet Kaya - Export Manager,export@doka-chem.com.tr,+90 312 456 7890,www.dokatrchemicals.com.tr,Ankara,Accelerators,Doka Accelerator,3.4,3.15,300,"Fast setting, strength development","ISO 9001:2015, TSE EN 934, CE Marking",22,"30% advance, 70% against B/L copy",350 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 350 tons monthly capacity"
10,Doka Turkey Chemicals,Mehmet Kaya - Export Manager,export@doka-chem.com.tr,+90 312 456 7890,www.dokatrchemicals.com.tr,Ankara,Retarders,Doka Retarder,2.8,2.55,300,Extended workability control,"ISO 9001:2015, TSE EN 934, CE Marking",22,"30% advance, 70% against B/L copy",350 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 350 tons monthly capacity"
11,Cetem Construction Chemicals,Fatma Demir - Export Manager,export@cetem.com.tr,+90 262 789 0123,www.cetemconstructionche.com.tr,"Izmit, Kocaeli",Pce Superplasticizers,Cetem PCE,3.95,3.7,500,High efficiency polycarboxylate ether,"ISO 9001:2015, TSE EN 934, CE Marking",23,"30% advance, 70% against B/L copy",375 tons,Hayır,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 375 tons monthly capacity"
11,Cetem Construction Chemicals,Fatma Demir - Export Manager,export@cetem.com.tr,+90 262 789 0123,www.cetemconstructionche.com.tr,"Izmit, Kocaeli",Accelerators,Cetem Accelerator,3.3,3.05,300,"Fast setting, strength development","ISO 9001:2015, TSE EN 934, CE Marking",23,"30% advance, 70% against B/L copy",375 tons,Hayır,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 375 tons monthly capacity"
11,Cetem Construction Chemicals,Fatma Demir - Export Manager,export@cetem.com.tr,+90 262 789 0123,www.cetemconstructionche.com.tr,"Izmit, Kocaeli",Retarders,Cetem Retarder,2.75,2.5,300,Extended workability control,"ISO 9001:2015, TSE EN 934, CE Marking",23,"30% advance, 70% against B/L copy",375 tons,Hayır,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 375 tons monthly capacity"
12,Yapi Chemicals,Ayşe Şahin - Export Manager,export@yapi-chem.com.tr,+90 216 890 1234,www.yapichemicals.com.tr,"Pendik, Istanbul",Pce Superplasticizers,Yapi PCE,4.0,3.75,500,High efficiency polycarboxylate ether,"ISO 9001:2015, TSE EN 934, CE Marking",24,"30% advance, 70% against B/L copy",400 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 400 tons monthly capacity"
12,Yapi Chemicals,Ayşe Şahin - Export Manager,export@yapi-chem.com.tr,+90 216 890 1234,www.yapichemicals.com.tr,"Pendik, Istanbul",Accelerators,Yapi Accelerator,3.35,3.1,300,"Fast setting, strength development","ISO 9001:2015, TSE EN 934, CE Marking",24,"30% advance, 70% against B/L copy",400 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 400 tons monthly capacity"
12,Yapi Chemicals,Ayşe Şahin - Export Manager,export@yapi-chem.com.tr,+90 216 890 1234,www.yapichemicals.com.tr,"Pendik, Istanbul",Retarders,Yapi Retarder,2.85,2.6,300,Extended workability control,"ISO 9001:2015, TSE EN 934, CE Marking",24,"30% advance, 70% against B/L copy",400 tons,Evet,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 400 tons monthly capacity"
13,Tekno Kimya Construction,Mustafa Özkan - Export Manager,export@teknokimya.com.tr,+90 312 901 2345,www.teknokimyaconstructi.com.tr,"Sincan, Ankara",Pce Superplasticizers,Tekno PCE,3.85,3.6,500,High efficiency polycarboxylate ether,"ISO 9001:2015, TSE EN 934, CE Marking",25,"30% advance, 70% against B/L copy",425 tons,Hayır,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 425 tons monthly capacity"
13,Tekno Kimya Construction,Mustafa Özkan - Export Manager,export@teknokimya.com.tr,+90 312 901 2345,www.teknokimyaconstructi.com.tr,"Sincan, Ankara",Accelerators,Tekno Accelerator,3.25,3.0,300,"Fast setting, strength development","ISO 9001:2015, TSE EN 934, CE Marking",25,"30% advance, 70% against B/L copy",425 tons,Hayır,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 425 tons monthly capacity"
13,Tekno Kimya Construction,Mustafa Özkan - Export Manager,export@teknokimya.com.tr,+90 312 901 2345,www.teknokimyaconstructi.com.tr,"Sincan, Ankara",Retarders,Tekno Retarder,2.7,2.45,300,Extended workability control,"ISO 9001:2015, TSE EN 934, CE Marking",25,"30% advance, 70% against B/L copy",425 tons,Hayır,15,Evet,Evet,"Turkish, English",Quality control,"Tier2 supplier, 425 tons monthly capacity"
14,Beton Master Kimya,Ali Özkan - Sales Manager,export@betonmasterkimy.com.tr,+90 216 400 1000,www.betonmasterkimya.com.tr,"Istanbul, Turkey",Pce Superplasticizers,Beton PCE,3.6,3.35,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",20,"30% advance, 70% against B/L copy",150 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 150 tons monthly capacity"
14,Beton Master Kimya,Ali Özkan - Sales Manager,export@betonmasterkimy.com.tr,+90 216 400 1000,www.betonmasterkimya.com.tr,"Istanbul, Turkey",Accelerators,Beton Accelerator,3.1,2.85,300,"Fast setting, strength development","ISO 9001, TSE",20,"30% advance, 70% against B/L copy",150 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 150 tons monthly capacity"
14,Beton Master Kimya,Ali Özkan - Sales Manager,export@betonmasterkimy.com.tr,+90 216 400 1000,www.betonmasterkimya.com.tr,"Istanbul, Turkey",Retarders,Beton Retarder,2.5,2.25,300,Extended workability control,"ISO 9001, TSE",20,"30% advance, 70% against B/L copy",150 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 150 tons monthly capacity"
15,Concrete Plus Turkey,Veli Yılmaz - Sales Manager,export@concreteplustr.com.tr,+90 226 407 1023,www.concreteplustr.com.tr,"Ankara, Turkey",Pce Superplasticizers,Concrete PCE,3.65,3.4,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",21,"30% advance, 70% against B/L copy",158 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 158 tons monthly capacity"
15,Concrete Plus Turkey,Veli Yılmaz - Sales Manager,export@concreteplustr.com.tr,+90 226 407 1023,www.concreteplustr.com.tr,"Ankara, Turkey",Accelerators,Concrete Accelerator,3.14,2.89,300,"Fast setting, strength development","ISO 9001, TSE",21,"30% advance, 70% against B/L copy",158 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 158 tons monthly capacity"
15,Concrete Plus Turkey,Veli Yılmaz - Sales Manager,export@concreteplustr.com.tr,+90 226 407 1023,www.concreteplustr.com.tr,"Ankara, Turkey",Retarders,Concrete Retarder,2.53,2.28,300,Extended workability control,"ISO 9001, TSE",21,"30% advance, 70% against B/L copy",158 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 158 tons monthly capacity"
16,Super Mix Chemicals,Ayşe Demir - Sales Manager,export@supermixchemica.com.tr,+90 236 414 1046,www.supermixchemicals.com.tr,"Izmir, Turkey",Pce Superplasticizers,Super PCE,3.7,3.45,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",22,"30% advance, 70% against B/L copy",166 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 166 tons monthly capacity"
16,Super Mix Chemicals,Ayşe Demir - Sales Manager,export@supermixchemica.com.tr,+90 236 414 1046,www.supermixchemicals.com.tr,"Izmir, Turkey",Accelerators,Super Accelerator,3.18,2.93,300,"Fast setting, strength development","ISO 9001, TSE",22,"30% advance, 70% against B/L copy",166 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 166 tons monthly capacity"
16,Super Mix Chemicals,Ayşe Demir - Sales Manager,export@supermixchemica.com.tr,+90 236 414 1046,www.supermixchemicals.com.tr,"Izmir, Turkey",Retarders,Super Retarder,2.56,2.31,300,Extended workability control,"ISO 9001, TSE",22,"30% advance, 70% against B/L copy",166 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 166 tons monthly capacity"
17,Build Strong Additives,Fatma Kaya - Sales Manager,export@buildstrongaddi.com.tr,+90 246 421 1069,www.buildstrongadditives.com.tr,"Bursa, Turkey",Pce Superplasticizers,Build PCE,3.75,3.5,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",23,"30% advance, 70% against B/L copy",174 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 174 tons monthly capacity"
17,Build Strong Additives,Fatma Kaya - Sales Manager,export@buildstrongaddi.com.tr,+90 246 421 1069,www.buildstrongadditives.com.tr,"Bursa, Turkey",Accelerators,Build Accelerator,3.22,2.97,300,"Fast setting, strength development","ISO 9001, TSE",23,"30% advance, 70% against B/L copy",174 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 174 tons monthly capacity"
17,Build Strong Additives,Fatma Kaya - Sales Manager,export@buildstrongaddi.com.tr,+90 246 421 1069,www.buildstrongadditives.com.tr,"Bursa, Turkey",Retarders,Build Retarder,2.59,2.34,300,Extended workability control,"ISO 9001, TSE",23,"30% advance, 70% against B/L copy",174 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 174 tons monthly capacity"
18,Pro Concrete Solutions,Mehmet Şahin - Sales Manager,export@proconcretesolu.com.tr,+90 256 428 1092,www.proconcretesolutions.com.tr,"Kocaeli, Turkey",Pce Superplasticizers,Pro PCE,3.8000000000000003,3.5500000000000003,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",24,"30% advance, 70% against B/L copy",182 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 182 tons monthly capacity"
18,Pro Concrete Solutions,Mehmet Şahin - Sales Manager,export@proconcretesolu.com.tr,+90 256 428 1092,www.proconcretesolutions.com.tr,"Kocaeli, Turkey",Accelerators,Pro Accelerator,3.2600000000000002,3.0100000000000002,300,"Fast setting, strength development","ISO 9001, TSE",24,"30% advance, 70% against B/L copy",182 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 182 tons monthly capacity"
18,Pro Concrete Solutions,Mehmet Şahin - Sales Manager,export@proconcretesolu.com.tr,+90 256 428 1092,www.proconcretesolutions.com.tr,"Kocaeli, Turkey",Retarders,Pro Retarder,2.62,2.37,300,Extended workability control,"ISO 9001, TSE",24,"30% advance, 70% against B/L copy",182 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 182 tons monthly capacity"
19,Elite Chemical Turkey,Ahmet Özkan - Sales Manager,export@elitechemicaltr.com.tr,+90 266 435 1115,www.elitechemicaltr.com.tr,"Sakarya, Turkey",Pce Superplasticizers,Elite PCE,3.85,3.6,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",25,"30% advance, 70% against B/L copy",190 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 190 tons monthly capacity"
19,Elite Chemical Turkey,Ahmet Özkan - Sales Manager,export@elitechemicaltr.com.tr,+90 266 435 1115,www.elitechemicaltr.com.tr,"Sakarya, Turkey",Accelerators,Elite Accelerator,3.3000000000000003,3.0500000000000003,300,"Fast setting, strength development","ISO 9001, TSE",25,"30% advance, 70% against B/L copy",190 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 190 tons monthly capacity"
19,Elite Chemical Turkey,Ahmet Özkan - Sales Manager,export@elitechemicaltr.com.tr,+90 266 435 1115,www.elitechemicaltr.com.tr,"Sakarya, Turkey",Retarders,Elite Retarder,2.65,2.4,300,Extended workability control,"ISO 9001, TSE",25,"30% advance, 70% against B/L copy",190 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 190 tons monthly capacity"
20,Advanced Admixtures,Ali Yılmaz - Sales Manager,export@advancedadmixtu.com.tr,+90 276 442 1138,www.advancedadmixtures.com.tr,"Eskişehir, Turkey",Pce Superplasticizers,Advanced PCE,3.9000000000000004,3.6500000000000004,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",26,"30% advance, 70% against B/L copy",198 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 198 tons monthly capacity"
20,Advanced Admixtures,Ali Yılmaz - Sales Manager,export@advancedadmixtu.com.tr,+90 276 442 1138,www.advancedadmixtures.com.tr,"Eskişehir, Turkey",Accelerators,Advanced Accelerator,3.34,3.09,300,"Fast setting, strength development","ISO 9001, TSE",26,"30% advance, 70% against B/L copy",198 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 198 tons monthly capacity"
20,Advanced Admixtures,Ali Yılmaz - Sales Manager,export@advancedadmixtu.com.tr,+90 276 442 1138,www.advancedadmixtures.com.tr,"Eskişehir, Turkey",Retarders,Advanced Retarder,2.68,2.43,300,Extended workability control,"ISO 9001, TSE",26,"30% advance, 70% against B/L copy",198 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 198 tons monthly capacity"
21,Quality Mix Systems,Veli Demir - Sales Manager,export@qualitymixsyste.com.tr,+90 286 449 1161,www.qualitymixsystems.com.tr,"Konya, Turkey",Pce Superplasticizers,Quality PCE,3.95,3.7,500,High efficiency polycarboxylate ether,"ISO 9001, TSE",27,"30% advance, 70% against B/L copy",206 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 206 tons monthly capacity"
21,Quality Mix Systems,Veli Demir - Sales Manager,export@qualitymixsyste.com.tr,+90 286 449 1161,www.qualitymixsystems.com.tr,"Konya, Turkey",Accelerators,Quality Accelerator,3.38,3.13,300,"Fast setting, strength development","ISO 9001, TSE",27,"30% advance, 70% against B/L copy",206 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 206 tons monthly capacity"
21,Quality Mix Systems,Veli Demir - Sales Manager,export@qualitymixsyste.com.tr,+90 286 449 1161,www.qualitymixsystems.com.tr,"Konya, Turkey",Retarders,Quality Retarder,2.71,2.46,300,Extended workability control,"ISO 9001, TSE",27,"30% advance, 70% against B/L copy",206 tons,Evet,10,Evet,Hayır,"Turkish, English",Quality control,"Tier3 supplier, 206 tons monthly capacity"
